Time,Input,Output
0,7.65084,7.39775
0.001,7.78361,7.39775
0.002,7.90198,7.39775
0.003,8.00502,7.51573
0.004,8.09194,7.54206
0.005,8.16209,7.51573
0.006,8.21497,7.34559
0.007,8.25021,7.34559
0.008,8.26761,7.3847
0.009,8.26713,7.3847
0.01,8.24887,7.30658
0.011,8.21309,7.30658
0.012,8.16019,7.20301
0.013,8.09074,7.20301
0.014,8.00543,7.08729
0.015,7.90508,7.10011
0.016,7.79066,7.10011
0.017,7.66323,7.24177
0.018,7.52399,7.24177
0.019,7.37421,7.11293
0.02,7.21526,7.22884
0.021,7.04858,7.35862
0.022,6.87567,7.22884
0.023,6.6981,7.35862
0.024,6.51745,7.17722
0.025,6.33532,7.51573
0.026,6.15333,7.55524
0.027,5.9731,7.56843
0.028,5.79622,7.55524
0.029,5.62424,7.4239
0.03,5.45867,7.4239
0.031,5.30096,7.46319
0.032,5.15249,7.59485
0.033,5.01455,7.52889
0.034,4.88834,7.54206
0.035,4.77495,7.52889
0.036,4.67536,7.54206
0.037,4.59043,7.4239
0.038,4.52088,7.67435
0.039,4.46731,7.75422
0.04,4.43018,7.75422
0.041,4.40979,7.34559
0.042,4.40631,7.33258
0.043,4.41975,7.56843
0.044,4.45,7.56843
0.045,4.49677,6.92164
0.046,4.55967,6.72019
0.047,4.63812,6.65778
0.048,4.73147,6.57085
0.049,4.83889,6.65778
0.05,4.95945,6.43528
0.051,5.09213,5.94113
0.052,5.23578,5.94113
0.053,5.38917,6.07198
0.054,5.551,6.07198
0.055,5.71988,5.81154
0.056,5.89438,5.81154
0.057,6.07303,5.54468
0.058,6.25432,5.54468
0.059,6.43671,5.59069
0.06,6.61868,5.59069
0.061,6.79872,5.23845
0.062,6.9753,5.23845
0.063,7.14699,5.21607
0.064,7.31234,5.21607
0.065,7.47002,5.54468
0.066,7.61872,5.54468
0.067,7.75724,5.54468
0.068,7.88448,5.31711
0.069,7.99941,5.31711
0.07,8.10114,5.47597
0.071,8.18887,5.47597
0.072,8.26195,5.40764
0.073,8.31985,5.2721
0.074,8.36216,5.40764
0.075,8.38862,5.44176
0.076,8.3991,5.2049
0.077,8.39362,5.2049
0.078,8.37232,5.31711
0.079,8.3355,5.37361
0.08,8.28357,5.49883
0.081,8.21709,5.63687
0.082,8.13672,5.72974
0.083,8.04327,5.67162
0.084,7.93762,5.67162
0.085,7.82079,5.67162
0.086,7.69388,6.21618
0.087,7.55807,6.16794
0.088,7.4146,6.16794
0.089,7.26481,6.16794
0.09,7.11006,6.44756
0.091,6.95176,6.44756
0.092,6.79133,6.60804
0.093,6.63023,6.60804
0.094,6.4699,6.60804
0.095,6.31178,6.67024
0.096,6.15729,7.01062
0.097,6.0078,7.25471
0.098,5.86463,7.22884
0.099,5.72907,7.07449
0.1,5.60231,7.22884
0.101,5.48548,7.11293
0.102,5.37959,7.2936
0.103,5.2856,7.22884
0.104,5.20432,7.22884
0.105,5.13646,7.22884
0.106,5.08263,7.3847
0.107,5.04331,7.43698
0.108,5.01882,7.3847
0.109,5.0094,7.25471
0.11,5.01512,7.55524
0.111,5.03594,7.55524
0.112,5.07169,7.34559
0.113,5.12206,7.34559
0.114,5.18661,7.58164
0.115,5.2648,7.58164
0.116,5.35596,6.87103
0.117,5.45931,6.8584
0.118,5.57397,6.72019
0.119,5.69896,6.82058
0.12,5.83322,6.82058
0.121,5.97561,6.72019
0.122,6.12492,6.59564
0.123,6.2799,6.31314
0.124,6.43923,6.31314
0.125,6.60158,6.21618
0.126,6.76559,5.96483
0.127,6.92987,5.94113
0.128,7.09307,5.84676
0.129,7.25382,5.77642
0.13,7.4108,5.77642
0.131,7.56271,5.5332
0.132,7.70831,5.45315
