Time,Input,Output
0,43.1313,42.2227
0.001,43.7237,42.2297
0.002,44.2518,42.2719
0.003,44.7116,42.3422
0.004,45.0995,42.4477
0.005,45.4125,42.5742
0.006,45.6484,42.7359
0.007,45.8057,42.9047
0.008,45.8833,43.1016
0.009,45.8812,43.3055
0.01,45.7997,43.5234
0.011,45.64,43.7273
0.012,45.404,44.0156
0.013,45.0941,44.2477
0.014,44.7134,44.5289
0.015,44.2657,44.7047
0.016,43.7551,44.782
0.017,43.1865,44.7609
0.018,42.5652,44.6625
0.019,41.8969,44.4797
0.02,41.1877,44.2336
0.021,40.4439,43.9312
0.022,39.6724,43.5656
0.023,38.8801,43.1508
0.024,38.074,42.6727
0.025,37.2614,42.1453
0.026,36.4493,41.5828
0.027,35.6451,40.9922
0.028,34.8559,40.3875
0.029,34.0885,39.7477
0.03,33.3497,39.0797
0.031,32.646,38.3695
0.032,31.9835,37.6383
0.033,31.3681,36.9141
0.034,30.8049,36.1688
0.035,30.2989,35.3953
0.036,29.8546,34.6008
0.037,29.4756,33.8062
0.038,29.1653,33.0047
0.039,28.9263,32.2031
0.04,28.7606,31.275
0.041,28.6696,30.4734
0.042,28.654,29.8406
0.043,28.714,29.2008
0.044,28.849,28.6313
0.045,29.0577,28.0688
0.046,29.3383,27.6891
0.047,29.6884,27.3234
0.048,30.1049,27.0422
0.049,30.5842,26.8313
0.05,31.1222,26.6906
0.051,31.7142,26.6133
0.052,32.3552,26.6062
0.053,33.0396,26.6695
0.054,33.7617,26.768
0.055,34.5153,26.9297
0.056,35.2939,27.1477
0.057,36.091,27.4078
0.058,36.8999,27.7312
0.059,37.7138,28.0898
0.06,38.5257,28.4977
0.061,39.329,28.9266
0.062,40.117,29.3977
0.063,40.883,29.8828
0.064,41.6209,30.4102
0.065,42.3244,31.0289
0.066,42.9879,31.6055
0.067,43.606,32.1961
0.068,44.1738,32.7867
0.069,44.6866,33.3844
0.07,45.1405,33.9961
0.071,45.532,34.6219
0.072,45.8581,35.2688
0.073,46.1164,35.9016
0.074,46.3052,36.5273
0.075,46.4232,37.1531
0.076,46.47,37.7859
0.077,46.4455,38.4258
0.078,46.3505,39.0727
0.079,46.1862,39.6984
0.08,45.9545,40.3102
0.081,45.6579,40.9219
0.082,45.2993,41.5266
0.083,44.8823,42.1453
0.084,44.4109,42.75
0.085,43.8896,43.3125
0.086,43.3233,43.7625
0.087,42.7173,44.1
0.088,42.0772,44.332
0.089,41.4088,44.4586
0.09,40.7183,44.4937
0.091,40.0119,44.4305
0.092,39.2961,44.2969
0.093,38.5772,44.0859
0.094,37.8619,43.8188
0.095,37.1563,43.4883
0.096,36.467,43.0945
0.097,35.7999,42.6445
0.098,35.1612,42.1453
0.099,34.5563,41.5969
0.1,33.9907,41.0203
0.101,33.4693,40.4227
0.102,32.9969,39.7969
0.103,32.5775,39.1359
0.104,32.2148,38.4328
0.105,31.912,37.7156
0.106,31.6718,36.9844
0.107,31.4964,36.2461
0.108,31.3871,35.4797
0.109,31.3451,34.5867
0.11,31.3706,33.8906
0.111,31.4635,33.1172
0.112,31.623,32.407
0.113,31.8477,31.7602
0.114,32.1358,31.1203
0.115,32.4847,30.6844
0.116,32.8914,30.2203
0.117,33.3526,29.8828
0.118,33.8642,29.6227
0.119,34.4219,29.4258
0.12,35.021,29.3063
0.121,35.6563,29.25
0.122,36.3226,29.25
0.123,37.0141,29.3203
0.124,37.725,29.4469
0.125,38.4494,29.6227
0.126,39.1812,29.8547
0.127,39.9143,30.1289
0.128,40.6425,30.4523
0.129,41.3597,30.818
0.13,42.0602,31.1766
0.131,42.738,31.6828
0.132,43.3877,32.1609
0.133,44.0039,32.6602
0.134,44.5817,33.1734
0.135,45.1164,33.7078
0.136,45.6038,34.2633
0.137,46.0401,34.8398
0.138,46.4219,35.4375
0.139,46.7463,36.0281
0.14,47.0109,36.6187
0.141,47.214,37.2094
0.142,47.3541,37.8141
0.143,47.4306,38.4328
0.144,47.4433,39.0516
0.145,47.3925,39.6633
0.146,47.279,40.2609
0.147,47.1045,40.9289
0.148,46.8707,41.5266
0.149,46.5803,42.1313
0.15,46.2361,42.7289
0.151,45.8417,43.3055
0.152,45.4008,43.8609
0.153,44.9177,44.3813
0.154,44.397,44.7891
0.155,43.8435,45.0914
0.156,43.2626,45.2812
0.157,42.6595,45.3586
0.158,42.0398,45.3445
0.159,41.4093,45.2391
0.16,40.7736,45.0562
0.161,40.1387,44.8031
0.162,39.5103,44.4937
0.163,38.8941,44.1211
0.164,38.2956,43.7063
0.165,37.7203,43.2281
0.166,37.1734,42.7078
0.167,36.6598,42.1313
0.168,36.1841,41.5266
0.169,35.7505,40.9008
0.17,35.3631,40.2539
0.171,35.0252,39.5789
0.172,34.7399,38.8687
0.173,34.5098,38.1305
0.174,34.337,37.2867
0.175,34.2231,36.5414
0.176,34.169,35.8172
0.177,34.1755,35.1492
0.178,34.2424,34.5516
0.179,34.3693,34.0383
0.18,34.5551,33.6023
0.181,34.7984,33.2437
0.182,35.097,32.9555
0.183,35.4485,32.7375
0.184,35.8499,32.5828
0.185,36.2978,32.4914
0.186,36.7885,32.4703
0.187,37.3178,32.5055
0.188,37.8812,32.6039
0.189,38.4741,32.7516
0.19,39.0914,32.9484
0.191,39.7279,33.2297
0.192,40.3784,33.4828
0.193,41.0373,33.8625
0.194,41.6993,34.2422
0.195,42.3587,34.6641
0.196,43.0102,35.1141
0.197,43.6483,35.5922
0.198,44.2679,36.0914
0.199,44.8639,36.5977
0.2,45.4313,37.0477
0.201,45.9658,37.6523
0.202,46.4629,38.1375
0.203,46.9188,38.7844
0.204,47.3298,39.2836
0.205,47.6929,39.8531
0.206,48.0053,40.4859
0.207,48.2647,40.9852
0.208,48.4693,41.5547
0.209,48.6178,42.2086
0.21,48.7092,42.7852
0.211,48.7434,43.3477
0.212,48.7205,43.8891
0.213,48.641,44.4375
0.214,48.5063,44.9719
0.215,48.3178,45.5133
0.216,48.0777,46.0477
0.217,47.7885,46.5609
0.218,47.4532,46.9898
0.219,47.0752,47.2992
0.22,46.658,47.4961
0.221,46.2059,47.5945
0.222,45.723,47.5875
0.223,45.214,47.4891
0.224,44.6837,47.3133
0.225,44.1371,47.0742
0.226,43.5792,46.7578
0.227,43.0152,46.3781
0.228,42.4504,45.9422
0.229,41.89,45.45
0.23,41.339,44.9156
0.231,40.8026,44.3461
